# A2    Country name

TF      Французские Южные и Антарктические Территории (OSM)
HR      Хорватия (OSM)
CF      ЦАР (OSM)
TD      Чад (OSM)
ME      Черногория (OSM)
CZ      Чехия (OSM)
CL      Чили (OSM)
CH      Швейцария (OSM)
SE      Швеция (OSM)
LK      Шри-Ланка (OSM)
EC      Эквадор (OSM)
GQ      Экваториальная Гвинея (OSM)
ER      Эритрея (OSM)
EE      Эстония (OSM)
ET      Эфиопия (OSM)
ZA      ЮАР (OSM)
KR      Республика Корея (OSM)
GS      Южная Георгия и Южные Сандвичевы острова (OSM)
JM      Ямайка (OSM)
JP      Япония (OSM)
BV      Остров Буве (OSM)
NF      Остров Норфолк (OSM)
SH      Остров Святой Елены (OSM)
TC      Тёркс и Кайкос (OSM)
WF      Уоллис и Футуна (OSM)
